shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3,28.058684,-82.435982,249
3,28.058707,-82.435728,250
3,28.058729,-82.435638,251
3,28.0591946,-82.4356322,252
3,28.0594369,-82.4356333,253
3,28.059448,-82.435629,254
3,28.059825,-82.435625,255
3,28.05986,-82.435543,256
3,28.059878,-82.434561,257
3,28.0605618,-82.434566,258
3,28.0615659,-82.434575,259
3,28.0635941,-82.434485,260
3,28.0655351,-82.4345894,261
3,28.065528,-82.4335594,262
3,28.0655209,-82.43309,263
3,28.0655232,-82.4325107,264
3,28.0655236,-82.4320994,265
3,28.065526,-82.4315657,266
3,28.065528,-82.4314753,267
3,28.0655264,-82.4307911,268
3,28.0655256,-82.4304346,269
3,28.0658386,-82.4304338,270
3,28.0664889,-82.430432,271
3,28.0673624,-82.4304351,272
3,28.0673529,-82.4294105,273
3,28.0668539,-82.4294159,274
3,28.0664142,-82.4294194,275
3,28.0655264,-82.4294278,276
3,28.065534,-82.4283892,277
3,28.0655688,-82.4273285,278
3,28.0655711,-82.4261564,279
3,28.0655456,-82.4259609,280
3,28.0655478,-82.4256974,281
3,28.0655478,-82.4254828,282
3,28.065582,-82.425245,283
3,28.065617,-82.4250924,284
3,28.0656766,-82.4249164,285
3,28.0657111,-82.4248544,286
3,28.0658149,-82.424683,287
3,28.0658303,-82.424692,288
3,28.0659568,-82.4244529,289
3,28.0660174,-82.4242555,290
3,28.0660401,-82.4240495,291
3,28.0660401,-82.4236032,292
3,28.0659977,-82.4233807,293
3,28.0660243,-82.4208996,294
3,28.0660226,-82.420628,295
3,28.0660217,-82.4204813,296
3,28.0660247,-82.4203542,297
3,28.0660307,-82.4191236,298
3,28.066025,-82.4190574,299
3,28.0660217,-82.4189449,300
3,28.0660191,-82.4188595,301
3,28.0660141,-82.418696,302
3,28.0659914,-82.4185415,303
3,28.0659232,-82.4183612,304
3,28.065794,-82.418131,305
3,28.0656733,-82.4180179,306
3,28.0656069,-82.417969,307
3,28.0655218,-82.4179063,308
3,28.065476,-82.4178692,309
3,28.0654859,-82.4178804,310
3,28.0653552,-82.4177862,311
3,28.065181,-82.4175973,312
3,28.065051,-82.41737,313
3,28.0649765,-82.4172369,314
3,28.064938,-82.4171059,315
3,28.0649159,-82.4170309,316
3,28.064893,-82.41681,317
3,28.0648931,-82.4166852,318
3,28.0648925,-82.4165662,319
3,28.0648932,-82.4164449,320
3,28.0648908,-82.4163448,321
3,28.0648938,-82.4162826,322
3,28.0648944,-82.4161272,323
3,28.0648964,-82.4155608,324
3,28.0648951,-82.4153359,325
3,28.0648934,-82.4150247,326
3,28.0648936,-82.4147197,327
3,28.0648892,-82.4146675,328
