shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,28.0572075,-82.4129613,97
2,28.0572417,-82.4114377,98
2,28.0572342,-82.4109141,99
2,28.0571887,-82.4105279,100
2,28.0571582,-82.4099013,101
2,28.0571357,-82.4094722,102
2,28.0571205,-82.4092919,103
2,28.0570827,-82.4090774,104
2,28.0570378,-82.4089223,105
2,28.0570277,-82.4088784,106
2,28.0569881,-82.4087641,107
2,28.056942,-82.4086537,108
2,28.0570591,-82.4086702,109
2,28.0571798,-82.4086756,110
2,28.0572322,-82.4086725,111
2,28.0574973,-82.408681,112
2,28.0582912,-82.4087235,113
2,28.0585607,-82.4086789,114
2,28.0590081,-82.4086716,115
2,28.0600642,-82.408723,116
2,28.0601367,-82.4086901,117
2,28.0604437,-82.4086896,118
2,28.060516,-82.4087249,119
2,28.0605638,-82.4087192,120
2,28.0608114,-82.4087228,121
2,28.0609485,-82.4087269,122
2,28.0610548,-82.408726,123
2,28.0611956,-82.4087117,124
2,28.0611977,-82.4087249,125
2,28.0616976,-82.4087249,126
2,28.0617513,-82.4087191,127
2,28.0618112,-82.4087163,128
2,28.061849,-82.4087163,129
2,28.0619475,-82.4087077,130
2,28.0620763,-82.408682,131
2,28.062256,-82.4086175,132
2,28.0624075,-82.4085402,133
2,28.062559,-82.4084372,134
2,28.0626833,-82.4083343,135
2,28.0627456,-82.408295,136
2,28.0628768,-82.4082154,137
2,28.0629708,-82.4081788,138
2,28.0631557,-82.4081019,139
2,28.0632799,-82.4080787,140
2,28.0637785,-82.4080805,141
2,28.0647717,-82.4080901,142
2,28.0647717,-82.4080901,143
2,28.0647864,-82.4080842,144
2,28.0648483,-82.4080843,145
2,28.0648988,-82.4080845,146
2,28.0650195,-82.4080849,147
2,28.0655826,-82.4080869,148
2,28.0657111,-82.4080873,149
2,28.0657118,-82.408278,150
2,28.0657118,-82.4092181,151
2,28.0657114,-82.4093393,152
2,28.0657117,-82.4098152,153
2,28.0657109,-82.4106221,154
2,28.0657109,-82.4107053,155
2,28.0657335,-82.4114205,156
2,28.065742,-82.4117228,157
2,28.065742,-82.4117962,158
2,28.06575,-82.4120271,159
2,28.065742,-82.4125296,160
2,28.065742,-82.413115,161
2,28.065742,-82.4132162,162
2,28.0658358,-82.413212,163
2,28.0663121,-82.4132133,164
