shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
4,28.0678021,-82.4175662,249
4,28.0678242,-82.4172884,250
4,28.0678242,-82.4171367,251
4,28.0678242,-82.416859,252
4,28.0678242,-82.416505,253
4,28.0678255,-82.4160802,254
4,28.0678242,-82.4159779,255
4,28.0678242,-82.4158893,256
4,28.0678166,-82.4158035,257
4,28.067809,-82.4157262,258
4,28.0677333,-82.4154773,259
4,28.067703,-82.4153743,260
4,28.0676811,-82.4152242,261
4,28.0676801,-82.4149951,262
4,28.0677002,-82.4148343,263
4,28.0676795,-82.4148447,264
4,28.0676791,-82.4147428,265
4,28.0676776,-82.4143857,266
4,28.0676775,-82.4143085,267
4,28.06767,-82.4140081,268
4,28.0676722,-82.4133495,269
4,28.0676727,-82.4132114,270
4,28.0675549,-82.4132121,271
4,28.06713,-82.4132128,272
4,28.0670641,-82.4132129,273
4,28.066976,-82.4132153,274
4,28.0665871,-82.4132141,275
4,28.0663121,-82.4132133,276
4,28.0658358,-82.413212,277
4,28.065742,-82.4132162,278
4,28.0656763,-82.4132162,279
4,28.065164,-82.4132176,280
4,28.0650655,-82.4132176,281
4,28.0649822,-82.4132434,282
4,28.064928,-82.413326,283
4,28.0648989,-82.4134065,284
4,28.0649064,-82.4138957,285
4,28.0648218,-82.4138993,286
4,28.0644765,-82.413914,287
4,28.0644354,-82.4139737,288
4,28.064355,-82.4140313,289
4,28.0642816,-82.4140394,290
4,28.0642236,-82.4140139,291
4,28.0642239,-82.4139482,292
4,28.0642248,-82.4137255,293
4,28.0642975,-82.4137242,294
4,28.0642889,-82.4137326,295
