Number,Name,A,B,C,D,E,SignPost,Shelter(S),Shelter(B),MapCase,SideWalk,BikeRack,News Stand,HART,Latitude,Longitude,OSM Node ID,Comments
315,Holly at USF Health Drive,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,C,TRUE,FALSE,FALSE,FALSE,,,1055308052,
316,Holly at Cypress,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,,,824795219,
317,College of Nursing,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1029714071,
319,Children's Medical Services,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,824795218,
320,Health Science Clinics (eastbound),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,No,TRUE,FALSE,FALSE,TRUE,,,824795217,
325,Laurel Garage (northbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063906,
326,Laurel Garage (southbound),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,454063903,
327,P&R Lot 43 Main (eastbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,454063911,
328,P&R Lot 43 Main (westbound),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,TRUE,FALSE,FALSE,,,454063912,
329,Lot 44,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,552602135,
330,Park N Ride 43 East,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,454063909,
340,Westside Conference,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,1029714066,
342,COPH,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1055700574,
344,Continuing Ed,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,743561913,
346,Chiles Center / FMHI,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,743557416,
401,Marshall Student Center (transfer),TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,454063916,
410,North Palm,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,456529956,
411,Palm & Laurel,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,,,655288739,
413,Credit Union (southbound),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,454063915,
414,Andros,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,TRUE,,,661059668,
418,Epsilon Hall,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,TRUE,,,454063919,
421,Holly Apartments (eastbound),FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,,,454063920,
425,Maple Suites,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,No,TRUE,TRUE,FALSE,TRUE,,,653972360,"this location IS correct, BR PDF shows it a bit east of actual location"
426,Cypress Hall,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,663479688,"this location IS correct, BR PDF shows it east of actual location"
430,Cypress Apartments,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,B,TRUE,FALSE,FALSE,FALSE,,,454063850,
432,Greek Circle,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,A,TRUE,FALSE,FALSE,FALSE,,,454863851,
445,Lot 35 (eastbound),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,TRUE,,,454063849,
446,Greek Park (westbound),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,TRUE,,,454063847,
700,Fountainwood Apartments,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,FALSE,FALSE,FALSE,FALSE,,,455032070,
701,University Collection I,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1029723352,
708,U. Mall to ADM,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,No,TRUE,FALSE,FALSE,FALSE,,,1056814287,
