shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1334825,28.0803703,-82.4128066,28,null
1334825,28.0803827,-82.4116439,29,null
1334825,28.0803840,-82.4115170,30,null
1334825,28.0803585,-82.4103175,31,null
1334825,28.0804166,-82.4126525,32,null
1334825,28.0804497,-82.4113221,33,null
1334825,28.0770798,-82.4099381,34,null
1334825,28.0690452,-82.4098734,35,null
1334825,28.0691729,-82.4098706,36,null
1334825,28.0692415,-82.4098700,37,null
1334825,28.0695433,-82.4098673,38,null
1334825,28.0697693,-82.4098702,39,null
1334825,28.0702023,-82.4098757,40,null
1334825,28.0706010,-82.4098830,41,null
1334825,28.0711620,-82.4098880,42,null
1334825,28.0714139,-82.4098907,43,null
1334825,28.0718493,-82.4098953,44,null
1334825,28.0722018,-82.4099028,45,null
1334825,28.0723019,-82.4099049,46,null
1334825,28.0724746,-82.4099086,47,null
1334825,28.0726218,-82.4099125,48,null
1334825,28.0729702,-82.4099169,49,null
1334825,28.0732164,-82.4099221,50,null
1334825,28.0737504,-82.4099333,51,null
1334825,28.0748078,-82.4099556,52,null
1334825,28.0748760,-82.4099570,53,null
1334825,28.0763170,-82.4099870,54,null
1334825,28.0767628,-82.4099980,55,null
1334825,28.0779000,-82.4100261,56,null
1334825,28.0793006,-82.4100878,57,null
1334825,28.0793649,-82.4100907,58,null
1334825,28.0802117,-82.4101029,59,null
1334825,28.0802946,-82.4101539,60,null
1334825,28.0803419,-82.4102370,61,null
1334825,28.0803585,-82.4103175,62,null
1334825,28.0749735,-82.4098576,63,null
1334825,28.0723004,-82.4098270,64,null
1334825,28.0690475,-82.4130785,65,null
1334825,28.0690439,-82.4126112,66,null
1334825,28.0690440,-82.4099810,67,null
1334825,28.0690452,-82.4098734,68,null
1334825,28.0676727,-82.4132114,69,null
1334825,28.0677775,-82.4132058,70,null
1334825,28.0678922,-82.4132000,71,null
1334825,28.0684147,-82.4131920,72,null
1334825,28.0689364,-82.4131982,73,null
1334825,28.0690475,-82.4131939,74,null
1334825,28.0690475,-82.4131939,75,null
1334825,28.0690475,-82.4130785,76,null
1334825,28.0657420,-82.4132162,77,null
1334825,28.0658406,-82.4132151,78,null
1334825,28.0663121,-82.4132133,79,null
1334825,28.0665871,-82.4132141,80,null
1334825,28.0669760,-82.4132153,81,null
1334825,28.0670641,-82.4132129,82,null
1334825,28.0671300,-82.4132128,83,null
1334825,28.0675640,-82.4132127,84,null
1334825,28.0676727,-82.4132114,85,null
1334825,28.0651540,-82.4132176,86,null
1334825,28.0656663,-82.4132162,87,null
1334825,28.0656663,-82.4132162,88,null
1334825,28.0656648,-82.4131127,89,null
1334825,28.0656587,-82.4125296,90,null
1334825,28.0656655,-82.4117882,91,null
1334825,28.0656669,-82.4117171,92,null
1334825,28.0657109,-82.4107053,93,null
1334825,28.0657109,-82.4107053,94,null
1334825,28.0657335,-82.4114205,95,null
1334825,28.0657408,-82.4117195,96,null
1334825,28.0657416,-82.4117893,97,null
1334825,28.0657420,-82.4125296,98,null
1334825,28.0657420,-82.4131150,99,null
1334825,28.0657420,-82.4132162,100,null
1334825,28.0657109,-82.4107053,101,null
1334825,28.0657109,-82.4106221,102,null
1334825,28.0657114,-82.4093393,103,null
1334825,28.0657118,-82.4092181,104,null
1334825,28.0657113,-82.4082893,105,null
1334825,28.0657111,-82.4080873,106,null
1334825,28.0617513,-82.4087191,107,null
1334825,28.0618112,-82.4087163,108,null
1334825,28.0618490,-82.4087163,109,null
1334825,28.0619475,-82.4087077,110,null
1334825,28.0620763,-82.4086820,111,null
1334825,28.0622560,-82.4086175,112,null
1334825,28.0624075,-82.4085402,113,null
1334825,28.0625590,-82.4084372,114,null
1334825,28.0626559,-82.4083657,115,null
1334825,28.0626925,-82.4083386,116,null
1334825,28.0628768,-82.4082154,117,null
1334825,28.0629737,-82.4081786,118,null
1334825,28.0631557,-82.4081019,119,null
1334825,28.0632799,-82.4080787,120,null
1334825,28.0637785,-82.4080805,121,null
1334825,28.0640455,-82.4080835,122,null
1334825,28.0647864,-82.4080842,123,null
1334825,28.0648483,-82.4080843,124,null
1334825,28.0648928,-82.4080844,125,null
1334825,28.0650195,-82.4080849,126,null
1334825,28.0655730,-82.4080858,127,null
1334825,28.0657111,-82.4080873,128,null
1334825,28.0605160,-82.4087249,129,null
1334825,28.0605638,-82.4087192,130,null
1334825,28.0608114,-82.4087228,131,null
1334825,28.0609485,-82.4087269,132,null
1334825,28.0610548,-82.4087260,133,null
1334825,28.0611977,-82.4087249,134,null
1334825,28.0616976,-82.4087249,135,null
1334825,28.0617513,-82.4087191,136,null
1334825,28.0605160,-82.4087249,137,null
1334825,28.0604361,-82.4087669,138,null
1334825,28.0601366,-82.4087668,139,null
1334825,28.0601366,-82.4087668,140,null
1334825,28.0585607,-82.4087773,141,null
1334825,28.0572098,-82.4087735,142,null
1334825,28.0570970,-82.4087695,143,null
1334825,28.0569881,-82.4087641,144,null
1334825,28.0601367,-82.4086901,145,null
1334825,28.0604437,-82.4086896,146,null
1334825,28.0605160,-82.4087249,147,null
1334825,28.0570591,-82.4086702,148,null
1334825,28.0571708,-82.4086782,149,null
1334825,28.0572322,-82.4086725,150,null
1334825,28.0574973,-82.4086810,151,null
1334825,28.0585607,-82.4086789,152,null
1334825,28.0590081,-82.4086716,153,null
1334825,28.0601367,-82.4086901,154,null
1334825,28.0569420,-82.4086537,155,null
1334825,28.0570591,-82.4086702,156,null
1334825,28.0572342,-82.4109141,157,null
1334825,28.0571887,-82.4105279,158,null
1334825,28.0571582,-82.4099013,159,null
1334825,28.0571357,-82.4094722,160,null
1334825,28.0571205,-82.4092919,161,null
1334825,28.0570827,-82.4090774,162,null
1334825,28.0570277,-82.4088784,163,null
1334825,28.0570378,-82.4089223,164,null
1334825,28.0569881,-82.4087641,165,null
1334825,28.0569420,-82.4086537,166,null
1334825,28.0570970,-82.4087695,167,null
1334825,28.0571475,-82.4089140,168,null
1334825,28.0571693,-82.4089893,169,null
1334825,28.0571811,-82.4090688,170,null
1334825,28.0572190,-82.4092919,171,null
1334825,28.0572417,-82.4094808,172,null
1334825,28.0572720,-82.4098927,173,null
1334825,28.0572720,-82.4105451,174,null
1334825,28.0572342,-82.4109141,175,null
1334825,28.0573207,-82.4096630,176,null
1334825,28.0582912,-82.4085935,177,null
1334825,28.0582230,-82.4088252,178,null
1334825,28.0572417,-82.4114377,179,null
1334825,28.0572342,-82.4109141,180,null
1334825,28.0572219,-82.4130934,181,null
1334825,28.0572212,-82.4129732,182,null
1334825,28.0572417,-82.4114377,183,null
1334825,28.0572219,-82.4130934,184,null
1334825,28.0573505,-82.4130950,185,null
1334825,28.0580326,-82.4130964,186,null
1334825,28.0586832,-82.4130967,187,null
1334825,28.0590185,-82.4130917,188,null
1334825,28.0593131,-82.4130902,189,null
1334825,28.0596764,-82.4130885,190,null
1334825,28.0591628,-82.4130271,191,null
1334825,28.0596776,-82.4133430,192,null
1334825,28.0593155,-82.4133456,193,null
1334825,28.0590457,-82.4133454,194,null
1334825,28.0590184,-82.4133452,195,null
1334825,28.0586078,-82.4133416,196,null
1334825,28.0573476,-82.4133337,197,null
1334825,28.0572235,-82.4133327,198,null
1334825,28.0572235,-82.4133327,199,null
1334825,28.0572219,-82.4130934,200,null
1334825,28.0591688,-82.4134026,201,null
1334825,28.0600642,-82.4086330,202,null
1334825,28.0601637,-82.4088376,203,null
1334825,28.0611956,-82.4085717,204,null
1334825,28.0613281,-82.4088507,205,null
1334825,28.0649816,-82.4082539,206,null
1334825,28.0656169,-82.4094790,207,null
1334825,28.0658117,-82.4098152,208,null
1334825,28.0656080,-82.4112482,209,null
1334825,28.0658060,-82.4120271,210,null
1334825,28.0642789,-82.4136326,211,null
1334825,28.0671289,-82.4131028,212,null
1334825,28.0671748,-82.4133054,213,null
1334825,28.0679830,-82.4133235,214,null
1334825,28.0684260,-82.4130960,215,null
1334825,28.0656663,-82.4132162,216,null
1334825,28.0657420,-82.4132162,217,null
1334825,28.0656663,-82.4132162,218,null
1334825,28.0657420,-82.4132162,219,null
1334825,28.0644665,-82.4139140,220,null
1334825,28.0644354,-82.4139737,221,null
1334825,28.0643550,-82.4140313,222,null
1334825,28.0642816,-82.4140394,223,null
1334825,28.0642236,-82.4140139,224,null
1334825,28.0642239,-82.4139482,225,null
1334825,28.0642248,-82.4137255,226,null
1334825,28.0642875,-82.4137242,227,null
1334825,28.0643834,-82.4137725,228,null
1334825,28.0644567,-82.4138476,229,null
1334825,28.0644665,-82.4139140,230,null
1334825,28.0648968,-82.4139029,231,null
1334825,28.0648184,-82.4139041,232,null
1334825,28.0644665,-82.4139140,233,null
1334825,28.0647864,-82.4079991,234,null
1334825,28.0596764,-82.4130885,235,null
1334825,28.0597216,-82.4131347,236,null
1334825,28.0597370,-82.4131896,237,null
1334825,28.0597357,-82.4132616,238,null
1334825,28.0597098,-82.4133064,239,null
1334825,28.0596776,-82.4133430,240,null
1335391,28.0642789,-82.4136326,0,null
1335391,28.0648968,-82.4139029,1,null
1335391,28.0648184,-82.4139041,2,null
1335391,28.0644665,-82.4139140,3,null
1335391,28.0644665,-82.4139140,4,null
1335391,28.0644354,-82.4139737,5,null
1335391,28.0643550,-82.4140313,6,null
1335391,28.0642816,-82.4140394,7,null
1335391,28.0642236,-82.4140139,8,null
1335391,28.0642239,-82.4139482,9,null
1335391,28.0642248,-82.4137255,10,null
1335391,28.0642875,-82.4137242,11,null
1335391,28.0643834,-82.4137725,12,null
1335391,28.0644567,-82.4138476,13,null
1335391,28.0644665,-82.4139140,14,null
1335391,28.0648968,-82.4139029,15,null
1335391,28.0648889,-82.4134065,16,null
1335391,28.0649180,-82.4133260,17,null
1335391,28.0649722,-82.4132434,18,null
1335391,28.0650555,-82.4132176,19,null
1335391,28.0651540,-82.4132176,20,null
1335391,28.0656663,-82.4132162,21,null
1335391,28.0657420,-82.4132162,22,null
1335391,28.0656663,-82.4132162,23,null
1335391,28.0656648,-82.4131127,24,null
1335391,28.0656587,-82.4125296,25,null
1335391,28.0656655,-82.4117882,26,null
1335391,28.0656669,-82.4117171,27,null
1335391,28.0657109,-82.4107053,28,null
1335391,28.0657109,-82.4107053,29,null
1335391,28.0657109,-82.4106221,30,null
1335391,28.0657114,-82.4093393,31,null
1335391,28.0657118,-82.4092181,32,null
1335391,28.0657113,-82.4082893,33,null
1335391,28.0657111,-82.4080873,34,null
1335391,28.0657111,-82.4080873,35,null
1335391,28.0658225,-82.4080709,36,null
1335391,28.0664717,-82.4079635,37,null
1335391,28.0675942,-82.4078286,38,null
1335391,28.0676283,-82.4078204,39,null
1335391,28.0676283,-82.4078204,40,null
1335391,28.0676228,-82.4076683,41,null
1335391,28.0675305,-82.4076200,42,null
1335391,28.0674973,-82.4075234,43,null
1335391,28.0675186,-82.4074349,44,null
1335391,28.0675802,-82.4073813,45,null
1335391,28.0676702,-82.4073798,46,null
1335391,28.0677308,-82.4074313,47,null
1335391,28.0677690,-82.4075317,48,null
1335391,28.0677239,-82.4076158,49,null
1335391,28.0676559,-82.4076656,50,null
1335391,28.0676643,-82.4078251,51,null
1335391,28.0676643,-82.4078251,52,null
1335391,28.0676283,-82.4078204,53,null
1335391,28.0665471,-82.4080208,54,null
1335391,28.0656660,-82.4075048,55,null
1335391,28.0657111,-82.4080873,56,null
1335391,28.0657080,-82.4079204,57,null
